code;niveau;competence;theme;formulation;socle;chemin;nb_fichiers;sequence;qcm;projet;synthese;evaluation;correction;situation_declenchante;problematique;qualite;anomalies;accessibilite;medias_licences;croisement;statut
5e_C1.1;5e;C1;1;Collecter, trier et analyser des données.;D2, D4;theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.1;26;oui;oui;non;oui;oui;oui;oui;oui;Lot « Chengdu : le collège qui mesure son air » (Fable, 08/08/2026) — séquence 5 séances portant les SIX codes du C1, QCM 30 q dont 13 illustrées, 2 synthèses, fiche, matrice, 3 jeux de données simulés déterministes, 4 schémas CC0 dont 2 corrigés, suite de 43 tests exécutés et verts. Deux chemins d'accès à l'activité tableur (règle n°59). L'état antérieur est archivé avec le relevé de ce qui en a été repris.;Aucune manipulation d'un objet réel (règle n°58) — geste manquant identifié et déclaré dans la fiche, la synthèse professeur et le README. La donnée est traitée, jamais produite.;Vérifiée : étiquettes, alternatives, signalement non chromatique, title/desc sur les 4 SVG, hors ligne intégral.;4 SVG originaux CC0 écrits pour le lot, title/desc de 1 360 à 1 509 car.;;COMPLET ET VALIDABLE
5e_C1.2;5e;C1;1;Comparer des principes techniques pour une même fonction technique.;D2, D4;theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.2;22;oui;oui;non;oui;oui;oui;oui;oui;Lot « Sainte-Luce : quel frein pour les vélos du collège ? » (Fable, 09/08/2026), REFONTE au gabarit — 3 séances, QCM 30 q dont 8 illustrées, 2 synthèses, fiche, matrice, 2 jeux de données simulés et cohérents entre eux, 2 corrigés graphiques CC0, suite de 36 tests exécutés et verts. PREMIER LOT DU DÉPÔT à placer une manipulation d'objet réel au parcours obligatoire (règle n°58) : un vélo, cinq minutes, trois versions A/B/C validées par le même vérificateur.;Les quinze mesures sont fournies, non relevées par les élèves. Le prix d'achat est volontairement absent. L'état antérieur — page sans aucun champ de saisie annonçant trois « productions attendues », et définition de la fonction technique confondue avec la fonction d'usage — est archivé avec le relevé de ce qui en a été repris.;Vérifiée : étiquettes, alternatives, signalement non chromatique, title/desc sur les SVG, hors ligne intégral.;2 SVG originaux CC0 écrits pour le lot (1 315 et 1 694 car. de description), 2 SVG hérités conservés. Aucune photographie, aucune capture d'écran.;;COMPLET ET VALIDABLE
5e_C1.3;5e;C1;1;Décrire le rôle des systèmes d’information dans le partage d’information.;D2, D5;theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.3;24;oui;oui;non;oui;oui;oui;oui;oui;Séquence SI/gestion de données complète (couvre aussi 5e_C1.4) + QCM 24 q.;"8 images PNG de 1,1 à 1,9 Mo chacune (≈ 9,3 Mo au total) à compresser (WebP/redimensionnement) ; pas de différenciation ; provenance/licence des 8 images extraites non documentée (pas de SOURCES_MEDIAS.md).";À vérifier (textes alternatifs des 8 images).;8 PNG extraits de l'ancien HTML base64 — origine à documenter.;;EXISTANT À AMÉLIORER
5e_C1.4;5e;C1;1;Recenser des données, les identifier, les classer, les représenter, les stocker, les retrouver dans une arborescence.;D2;theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.4;1;non;non;non;non;non;non;non;non;README pointeur propre vers 5e_C1.3 (mutualisation justifiée : même support « SI / gestion de données »).;Aucune.;s.o.;s.o.;Mutualisé avec 5e_C1.3 (README pointeur en place).;COUVERT PAR UNE SÉQUENCE MUTUALISÉE
5e_C1.5;5e;C1;1;Identifier des règles permettant de sécuriser un environnement numérique (bases de la cybersécurité) et des règles de respect de la propriété intellectuelle.;D3;theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.5;2;non;non;non;non;non;non;non;non;Aucune ressource dans le dossier. La séquence cybersécurité V16 rangée en 4e_C1.4 couvre ce code « en croisement » d'après son README, mais aucun README pointeur n'existe côté 5e.;Créer au minimum un README pointeur vers 4e_C1.4 ou une déclinaison 5e.;;;Croisement déclaré avec 4e_C1.4 (cybersécurité V16) — pointeur manquant.;À CRÉER
5e_C1.6;5e;C1;1;Appréhender la responsabilité de chacun dans les dérives (cyberviolence, atteinte à la vie privée, aux données personnelles, usurpation d’identité).;D3;theme-1-objets-systemes-usages-interactions/C1-decrire-les-liens-entre-usages-et-evolutions/5e/5e_C1.6;2;non;non;non;non;non;non;non;non;Aucune ressource. Même situation que 5e_C1.5 (matériau réutilisable dans la séquence cybersécurité 4e_C1.4 : cyberviolence, vie privée).;Créer au minimum un README pointeur vers 4e_C1.4 ou une déclinaison 5e.;;;Croisement déclaré avec 4e_C1.4 (cybersécurité V16) — pointeur manquant.;À CRÉER
5e_C2.1;5e;C2;1;Faire la liste des interacteurs extérieurs d’un OST.;D4;theme-1-objets-systemes-usages-interactions/C2-decrire-les-interactions-entre-un-objet-ou/5e/5e_C2.1;19;oui;oui;oui;oui;oui;oui;oui;oui;Lot « Shenzhen — la station de vélos et tout ce qui l'entoure » (08/08/2026) : 3 séances de 55 min, 3 activités + billet sans note + bilan, 2 SVG originaux lus comme des documents, QCM de 30 questions dont 4 illustrées, 2 synthèses, fiche, matrice de 25 notions, 45 tests Playwright tous passés. PREMIER LOT DU C2. Achève une séquence héritée qui n'était qu'un plan rédigé en HTML (7,4 ko) et RÉPARE un lien cassé connu du Thème 1 : la page pointait vers un QCM absent.;"CORRIGÉ EN v1.1 : la v1.0 nommait « esthétique » le troisième domaine de conception, alors que le référentiel dit « ou en lien avec des objectifs de développement durable ». Une dimension du programme avait été remplacée par une dimension inventée, et enseignée comme canonique dans le QCM. Corrigé partout ; l'esthétique reste nommée comme une vraie question de conception sans être comptée comme l'un des trois domaines. — 7 règles mécanisables au vert. FRONTIÈRE DE NIVEAU à tenir : « décrire l'expérience de l'utilisateur » relève de la 4e, pas de la 5e. Ici l'élève recense et repère ; c'est écrit à l'élève dans la carte du référentiel, à la fiche, à la synthèse professeur, et le QCM y consacre sa dernière question. Le relevé de l'activité 2 exige qu'au moins un des quatre choix relève du développement durable. Données de la station simulées et annoncées comme telles (règle n°27). Le fichier hérité solutions_station_shenzhen_simulees.csv n'est pas utilisé : il évalue des variantes selon des critères, geste de la compétence C3 — c'est dit au SOURCES_MEDIAS plutôt que masqué.";Champs étiquetés, alternatives longues sur les deux figures, 7 versions étayées pour 7 productions écrites, mode essentiel, bandeau de tâches, aucune ressource distante (n°40). Non vérifiés donc non déclarés conformes : impression A4, lecteur d'écran, zoom 200 %, mobile réel.;2 SVG originaux CC0 écrits pour ce dépôt. Aucune photographie de station réelle : elle donnerait les réponses de l'activité 1.;;COMPLET ET VALIDABLE
5e_C2.2;5e;C2;1;Repérer et expliquer les choix de conception dans les domaines de l’ergonomie et de la sécurité ou en lien avec des objectifs de développement durable.;D4, D5;theme-1-objets-systemes-usages-interactions/C2-decrire-les-interactions-entre-un-objet-ou/5e/5e_C2.2;1;oui;oui;non;oui;oui;oui;oui;oui;Traité par la séquence Shenzhen du dossier 5e_C2.1 (séances 2 et 3 — retrouver la décision derrière une forme, puis comparer deux stations et transposer). Les trois domaines travaillés sont ceux du référentiel : ergonomie, sécurité, développement durable. 15 des 30 questions du QCM lui sont consacrées.;Voir 5e_C2.1 : dossier principal du lot.;;;;COUVERT PAR UNE SÉQUENCE MUTUALISÉE
5e_C3.1;5e;C3;1;Repérer pour un OST les matériaux, les sources et les formes d’énergies, le traitement de l’information.;D2, D4;theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/5e/5e_C3.1;16;oui;oui;oui;oui;oui;oui;oui;oui;Lot « Shanghai — quel véhicule pour le dernier kilomètre ? » (08/08/2026) : 4 séances de 55 min, 5 activités + billet d'entrée sans note, données simulées à 20 colonnes exploitées au tableur, QCM de 30 questions dont 3 illustrées, 2 synthèses, fiche, matrice de 32 notions, 27 tests Playwright tous passés. Premier lot du C3, compétence qui n'avait aucune ressource sur les trois niveaux. L'ordre de traitement est C3.1, C3.2, C3.4 puis C3.3 : on ne choisit qu'après avoir caractérisé, situé dans le cycle de vie et mesuré.;Aucune : les 7 règles mécanisables sont au vert. Les données du fichier CSV sont ENTIÈREMENT SIMULÉES et annoncées comme telles dès la situation déclenchante (règle n°27) — aucun véhicule commercialisé n'est décrit.;Champs étiquetés, alternatives longues (plus de 120 caractères) sur les trois figures, aucun défilement horizontal à 1280 ni à 390 px, versions étayées pour les 8 productions écrites. PREMIÈRE SÉQUENCE DU DÉPÔT SANS AUCUNE RESSOURCE DISTANTE (règle n°40) : elle fonctionne à l'identique derrière un filtrage de collège. Non vérifiés donc non déclarés conformes : impression A4, contraste mesuré, lecteur d'écran réel, zoom 200 %.;3 SVG originaux CC0 écrits à la main (planche comparative des trois solutions, cycle de vie avec les étapes influencées, protocole de mesure du freinage).;;COMPLET ET VALIDABLE
5e_C3.2;5e;C3;1;Identifier les étapes du cycle de vie d’un OST influencées par les choix de matériaux et d’énergie.;D3, D4, D5;theme-1-objets-systemes-usages-interactions/C3-caracteriser-et-choisir-un-objet-ou-un/5e/5e_C3.2;0;oui;oui;non;oui;oui;oui;oui;oui;Traité par la séquence Shanghai du dossier 5e_C3.1 (séance 2 — les étapes du cycle de vie influencées par les choix de matériaux et d'énergie).;Voir 5e_C3.1 : dossier principal du lot.;;;;COUVERT PAR UNE SÉQUENCE MUTUALISÉE
