notion;competence;activite_enseignement;production_demandee;synthese;questions_qcm;correction_disponible;statut_couverture
Fonction technique vs solution technique;5e_C4.1;Act. 1;5 associations élément→fonction;Synthèse §1;1;oui;couvert
Associer sur un schéma annoté;5e_C4.1;Act. 1 (schéma SVG);Lecture du lampadaire annoté;Synthèse §1;2;oui;couvert
Une fonction, plusieurs solutions (critères);5e_C4.1;Act. 1 (correction) + R;Discussion guidée;Synthèse §1;3;oui;couvert
Transfert à un autre objet;5e_C4.1;R (sonnette connectée);6 réponses;Synthèse §1;4;oui;couvert
Constituants de la chaîne d'énergie (fournie);5e_C4.2;Act. 2;Ordre des 4 blocs;Synthèse §2;5;oui;couvert
Fonction STOCKER (batterie);5e_C4.2;Act. 2;Classement + nature;Synthèse §2 et pièges;6;oui;couvert
Fonction DISTRIBUER (régulateur);5e_C4.2;Act. 2 (correction);Discussion;Synthèse §2;7;oui;couvert
Chaîne d'énergie d'un autre objet;5e_C4.2;R;Transposition;Synthèse §2;8;oui;couvert
Nature d'énergie en entrée (panneau);5e_C4.3;Act. 2;Liste des natures;Synthèse §2;9;oui;couvert
Stockage sous forme chimique;5e_C4.3;Act. 2;Liste des natures;Synthèse §2 et pièges;10;oui;couvert
Nature en sortie (LED);5e_C4.3;Act. 2;Liste des natures;Synthèse §2;11;oui;couvert
Enchaînement complet des natures;5e_C4.3;Act. 2 + cahier;Chaîne fléchée recopiée;Synthèse §2;12;oui;couvert
Matériau du mât (acier galvanisé);5e_C4.4;Act. 1;4 matériaux associés;Synthèse §1;13;oui;couvert
Choisir un matériau selon l'usage;5e_C4.4;Act. 1 (justification);Justification rédigée (sel marin);Synthèse §1;14;oui;couvert
Familles de matériaux;5e_C4.4;Act. 1 (correction);Discussion;Synthèse §1;15;oui;couvert
Conducteur / isolant (cuivre gainé);5e_C4.4;Act. 1 + R;Association;Synthèse §1;16;oui;couvert
Constituants de la chaîne d'information (fournie);5e_C4.5;Act. 3;3 blocs identifiés;Synthèse §2;17;oui;couvert
Rôle des capteurs (acquérir);5e_C4.5;Act. 3 + simulateur;Tableau des comportements;Synthèse §2;18;oui;couvert
Règle de décision (SI nuit ET passage);5e_C4.5;Act. 3 (simulateur, verrou expérientiel);3 situations observées;Synthèse §2;19;oui;couvert
L'information commande l'énergie;5e_C4.5;Act. 3 (schéma des 2 chaînes);Lecture SVG;Synthèse §2 et pièges;20;oui;couvert
Nommer un descripteur (clair, type, format);5e_C4.6;Act. 4;Choix batterie_pct + colonne ajoutée;Synthèse §3;21;oui;couvert
Une ligne = un objet, une colonne = un descripteur;5e_C4.6;Act. 4;Lecture de la table des 6 lampadaires;Synthèse §3;22;oui;couvert
Lire des données pour agir;5e_C4.6;Act. 4 (L5 prioritaire, L3 batterie 12 %);3 réponses extraites;Synthèse §3;23;oui;couvert
Pourquoi décrire en données;5e_C4.6;Act. 4 (correction);Discussion;Synthèse §3;24;oui;couvert
Les terminaux du réseau;5e_C4.7;Act. 5;Identification sur schéma;Synthèse §4;25;oui;couvert
Le commutateur;5e_C4.7;Act. 5;Identification sur schéma;Synthèse §4 et pièges;26;oui;couvert
Liaison filaire vs sans fil (Wi-Fi);5e_C4.7;Act. 5;2 liaisons qualifiées;Synthèse §4;27;oui;couvert
Le serveur;5e_C4.7;Act. 5 + R;Identification sur schéma;Synthèse §4;28;oui;couvert
Pourquoi identifier les terminaux;5e_C4.8;Act. 6 (jeu du courrier);Justification rédigée;Synthèse §4;29;oui;couvert
Conflit de noms identiques;5e_C4.8;Act. 6;Analyse du conflit TABLETTE-07;Synthèse §4 et pièges;30;oui;couvert
Message sans destinataire;5e_C4.8;Act. 6;Analyse (lettre sans adresse);Synthèse §4;31;oui;couvert
Activité débranchée = concepts réels;5e_C4.8;Act. 6 + simulation (act. 3 et 5);Jeu déroulé + vérification à l'écran;Synthèse §4;32;oui;couvert
